gene,count
gene_12750,2
gene_13299,2
gene_1348,2
gene_1420,2
gene_14946,2
gene_15199,2
gene_15216,2
gene_15247,2
gene_15442,2
gene_15580,2
gene_1579,2
gene_16258,2
gene_17920,2
gene_17970,2
gene_18158,2
gene_19593,2
gene_2324,2
gene_2506,2
gene_2964,2
gene_491,2
gene_510,2
gene_5271,2
gene_5384,2
gene_5386,2
gene_542,2
gene_5432,2
gene_66,2
gene_6761,2
gene_7189,2
gene_7265,2
gene_7273,2
gene_7285,2
gene_769,2
gene_7971,2
gene_8318,2
gene_8628,2
gene_864,2
gene_8875,2
gene_9228,2
gene_9232,2
gene_9254,2
gene_9419,2
gene_9527,2
gene_10227,1
gene_10521,1
gene_10918,1
gene_11011,1
gene_11019,1
gene_11350,1
gene_11356,1
gene_11372,1
gene_11619,1
gene_11706,1
gene_11749,1
gene_118,1
gene_11903,1
gene_1191,1
gene_11990,1
gene_12000,1
gene_12009,1
gene_12069,1
gene_1210,1
gene_12769,1
gene_12903,1
gene_12946,1
gene_13105,1
gene_13106,1
gene_13177,1
gene_13228,1
gene_13278,1
gene_13302,1
gene_13545,1
gene_13759,1
gene_1397,1
gene_14115,1
gene_14170,1
gene_14220,1
gene_1431,1
gene_14351,1
gene_14566,1
gene_14823,1
gene_1502,1
gene_15036,1
gene_15217,1
gene_15221,1
gene_15235,1
gene_15271,1
gene_15285,1
gene_15286,1
gene_15298,1
gene_15433,1
gene_15448,1
gene_15514,1
gene_15531,1
gene_15583,1
gene_15618,1
gene_15647,1
gene_15704,1
gene_15793,1
gene_15806,1
gene_15894,1
gene_1592,1
gene_15978,1
gene_16029,1
gene_16088,1
gene_16228,1
gene_16338,1
gene_16344,1
gene_17147,1
gene_17183,1
gene_17184,1
gene_17263,1
gene_17378,1
gene_17414,1
gene_17486,1
gene_17582,1
gene_17613,1
gene_17658,1
gene_17914,1
gene_17922,1
gene_17930,1
gene_18037,1
gene_18056,1
gene_18091,1
gene_18117,1
gene_18538,1
gene_18595,1
gene_1874,1
gene_18762,1
gene_18793,1
gene_18810,1
gene_18929,1
gene_18994,1
gene_19023,1
gene_19034,1
gene_19118,1
gene_19127,1
gene_19468,1
gene_19885,1
gene_1992,1
gene_2143,1
gene_2152,1
gene_2167,1
gene_2505,1
gene_2949,1
gene_3019,1
gene_3251,1
gene_3288,1
gene_3292,1
gene_3306,1
gene_3325,1
gene_3353,1
gene_3360,1
gene_3365,1
gene_3366,1
gene_349,1
gene_3669,1
gene_3691,1
gene_3797,1
gene_3843,1
gene_3845,1
gene_4065,1
gene_4162,1
gene_4221,1
gene_4264,1
gene_4345,1
gene_4347,1
gene_441,1
gene_4448,1
gene_447,1
gene_4556,1
gene_4589,1
gene_459,1
gene_4804,1
gene_492,1
gene_5003,1
gene_5017,1
gene_515,1
gene_5157,1
gene_5229,1
gene_535,1
gene_543,1
gene_5430,1
gene_5456,1
gene_5475,1
gene_5632,1
gene_5649,1
gene_5678,1
gene_5807,1
gene_6160,1
gene_6442,1
gene_6589,1
gene_6592,1
gene_6714,1
gene_6734,1
gene_6852,1
gene_6870,1
gene_6931,1
gene_7396,1
gene_7484,1
gene_7489,1
gene_761,1
gene_766,1
gene_7713,1
gene_7937,1
gene_8063,1
gene_8161,1
gene_8197,1
gene_8217,1
gene_8266,1
gene_8268,1
gene_8322,1
gene_8522,1
gene_862,1
gene_8664,1
gene_8665,1
gene_8673,1
gene_8722,1
gene_888,1
gene_889,1
gene_9224,1
gene_9225,1
gene_9269,1
gene_9275,1
gene_9397,1
gene_9399,1
gene_9645,1
