gene,count
gene_9255,3
gene_9256,3
gene_9275,3
gene_9385,3
gene_9484,3
gene_9638,3
gene_10995,2
gene_11356,2
gene_11434,2
gene_11561,2
gene_11749,2
gene_11990,2
gene_13179,2
gene_13220,2
gene_13327,2
gene_13517,2
gene_13543,2
gene_13574,2
gene_13625,2
gene_1381,2
gene_13865,2
gene_13935,2
gene_14035,2
gene_14208,2
gene_14473,2
gene_14511,2
gene_14575,2
gene_14923,2
gene_15219,2
gene_15224,2
gene_15279,2
gene_15291,2
gene_15437,2
gene_15514,2
gene_16097,2
gene_16283,2
gene_16468,2
gene_16929,2
gene_17247,2
gene_17362,2
gene_17378,2
gene_17471,2
gene_17472,2
gene_17817,2
gene_17971,2
gene_18037,2
gene_18488,2
gene_19734,2
gene_2910,2
gene_2949,2
gene_3354,2
gene_3571,2
gene_359,2
gene_3647,2
gene_3909,2
gene_4064,2
gene_4167,2
gene_4320,2
gene_4347,2
gene_4426,2
gene_4436,2
gene_4553,2
gene_5271,2
gene_5695,2
gene_6231,2
gene_6339,2
gene_6405,2
gene_6734,2
gene_6803,2
gene_7591,2
gene_7606,2
gene_7607,2
gene_761,2
gene_7713,2
gene_7717,2
gene_8161,2
gene_8164,2
gene_8234,2
gene_8311,2
gene_8604,2
gene_8631,2
gene_8644,2
gene_8649,2
gene_9224,2
gene_9227,2
gene_9377,2
gene_955,2
gene_10203,1
gene_10259,1
gene_10263,1
gene_1045,1
gene_10502,1
gene_10549,1
gene_10620,1
gene_10719,1
gene_10740,1
gene_10773,1
gene_10991,1
gene_11011,1
gene_11033,1
gene_11250,1
gene_11252,1
gene_11388,1
gene_11484,1
gene_11575,1
gene_11594,1
gene_11595,1
gene_11737,1
gene_1176,1
gene_11850,1
gene_11910,1
gene_12070,1
gene_12091,1
gene_1210,1
gene_12100,1
gene_12114,1
gene_12166,1
gene_1224,1
gene_12240,1
gene_12311,1
gene_1245,1
gene_1272,1
gene_13011,1
gene_13087,1
gene_13105,1
gene_13228,1
gene_13328,1
gene_13354,1
gene_13453,1
gene_13628,1
gene_13629,1
gene_13898,1
gene_1397,1
gene_14077,1
gene_14120,1
gene_14121,1
gene_1420,1
gene_1423,1
gene_14255,1
gene_14348,1
gene_14352,1
gene_14396,1
gene_14400,1
gene_14425,1
gene_14545,1
gene_14647,1
gene_14652,1
gene_15198,1
gene_15200,1
gene_15231,1
gene_15257,1
gene_15274,1
gene_15285,1
gene_15286,1
gene_15298,1
gene_15310,1
gene_15319,1
gene_15336,1
gene_15442,1
gene_15448,1
gene_15502,1
gene_15588,1
gene_15643,1
gene_15644,1
gene_15711,1
gene_15777,1
gene_1579,1
gene_15867,1
gene_15989,1
gene_16258,1
gene_1627,1
gene_16419,1
gene_1650,1
gene_1655,1
gene_1675,1
gene_1698,1
gene_17010,1
gene_17031,1
gene_17046,1
gene_17336,1
gene_17370,1
gene_17407,1
gene_17425,1
gene_17501,1
gene_17510,1
gene_17573,1
gene_17699,1
gene_17784,1
gene_17937,1
gene_18003,1
gene_18056,1
gene_18084,1
gene_18088,1
gene_18305,1
gene_18325,1
gene_18626,1
gene_18652,1
gene_18729,1
gene_18805,1
gene_18929,1
gene_19023,1
gene_19036,1
gene_19072,1
gene_19075,1
gene_19130,1
gene_19155,1
gene_19157,1
gene_19267,1
gene_19344,1
gene_19347,1
gene_19446,1
gene_19479,1
gene_19503,1
gene_19643,1
gene_19656,1
gene_19735,1
gene_19914,1
gene_20033,1
gene_2007,1
gene_20320,1
gene_2152,1
gene_2277,1
gene_2313,1
gene_2324,1
gene_2530,1
gene_272,1
gene_2731,1
gene_2879,1
gene_2898,1
gene_2906,1
gene_2908,1
gene_2982,1
gene_3307,1
gene_3415,1
gene_3522,1
gene_3618,1
gene_3699,1
gene_3743,1
gene_3774,1
gene_389,1
gene_4031,1
gene_4055,1
gene_4065,1
gene_4089,1
gene_4092,1
gene_4162,1
gene_4169,1
gene_4247,1
gene_428,1
gene_4317,1
gene_4319,1
gene_4356,1
gene_4387,1
gene_4393,1
gene_444,1
gene_4441,1
gene_4473,1
gene_4567,1
gene_4748,1
gene_4757,1
gene_4934,1
gene_5003,1
gene_5022,1
gene_511,1
gene_5215,1
gene_5230,1
gene_5496,1
gene_5521,1
gene_5546,1
gene_5568,1
gene_5580,1
gene_5662,1
gene_5762,1
gene_5836,1
gene_585,1
gene_623,1
gene_6232,1
gene_6235,1
gene_6369,1
gene_6452,1
gene_6589,1
gene_6933,1
gene_6947,1
gene_6949,1
gene_7273,1
gene_7379,1
gene_7397,1
gene_747,1
gene_7501,1
gene_7504,1
gene_7572,1
gene_7592,1
gene_7597,1
gene_769,1
gene_7731,1
gene_778,1
gene_7893,1
gene_7913,1
gene_8149,1
gene_8154,1
gene_8163,1
gene_8326,1
gene_8334,1
gene_8444,1
gene_862,1
gene_8628,1
gene_8671,1
gene_8722,1
gene_8913,1
gene_914,1
gene_9142,1
gene_9169,1
gene_9172,1
gene_9180,1
gene_9222,1
gene_9231,1
gene_9361,1
gene_9391,1
gene_9407,1
gene_9527,1
